FIPS_Code,State,Area_Name,Unemployment_rate_2019,Unemployment_rate_2020,Unemployment_rate_2021,Unemployment_rate_2022,Unemployment_rate_2023,peak,recovery_lag,shock_depth,recovery_pct,label
48261,TX,"Kenedy County, TX",3.5,5.6000000000000005,5.9,6.2,7.1000000000000005,5.9,3.6000000000000005,2.4000000000000004,-50.0,"Kenedy County, TX, TX"
32021,NV,"Mineral County, NV",4.1000000000000005,5.800000000000001,3.6,4.7,6.800000000000001,5.800000000000001,2.7,1.7000000000000002,-58.823529411764696,"Mineral County, NV, NV"
45069,SC,"Marlboro County, SC",4.6000000000000005,9.4,7.4,6.6000000000000005,7.2,9.4,2.5999999999999996,4.8,45.833333333333336,"Marlboro County, SC, SC"
48465,TX,"Val Verde County, TX",3.3000000000000003,8.3,5.9,4.6000000000000005,5.5,8.3,2.1999999999999997,5.0,56.000000000000014,"Val Verde County, TX, TX"
48435,TX,"Sutton County, TX",3.8000000000000003,9.8,8.1,5.7,5.800000000000001,9.8,2.0000000000000004,6.0,66.66666666666666,"Sutton County, TX, TX"
15009,HI,"Maui County, HI",2.4000000000000004,17.7,7.6000000000000005,3.2,4.4,17.7,2.0,15.299999999999999,86.9281045751634,"Maui County, HI, HI"
19127,IA,"Marshall County, IA",4.4,6.9,5.800000000000001,5.4,6.300000000000001,6.9,1.9000000000000004,2.5,23.999999999999986,"Marshall County, IA, IA"
48197,TX,"Hardeman County, TX",3.0,4.4,4.3,3.6,4.800000000000001,4.4,1.8000000000000007,1.4000000000000004,-28.57142857142859,"Hardeman County, TX, TX"
21159,KY,"Martin County, KY",6.7,11.4,8.6,7.6000000000000005,8.3,11.4,1.6000000000000005,4.7,65.95744680851064,"Martin County, KY, KY"
17007,IL,"Boone County, IL",5.4,11.3,8.8,6.7,7.0,11.3,1.5999999999999996,5.9,72.88135593220339,"Boone County, IL, IL"
25019,MA,"Nantucket County/town, MA",4.4,11.8,7.2,6.1000000000000005,5.800000000000001,11.8,1.4000000000000004,7.4,81.08108108108108,"Nantucket County/town, MA, MA"
36005,NY,"Bronx County, NY",5.4,16.0,13.9,7.9,6.800000000000001,16.0,1.4000000000000004,10.6,86.79245283018867,"Bronx County, NY, NY"
48487,TX,"Wilbarger County, TX",3.6,5.9,6.6000000000000005,4.9,5.0,6.6000000000000005,1.4,3.0000000000000004,53.33333333333334,"Wilbarger County, TX, TX"
36047,NY,"Kings County, NY",4.1000000000000005,12.5,10.4,5.9,5.5,12.5,1.3999999999999995,8.399999999999999,83.33333333333334,"Kings County, NY, NY"
19047,IA,"Crawford County, IA",3.5,5.1000000000000005,4.7,4.2,4.800000000000001,5.1000000000000005,1.3000000000000007,1.6000000000000005,18.749999999999982,"Crawford County, IA, IA"
16023,ID,"Butte County, ID",2.6,4.2,4.3,3.9000000000000004,3.9000000000000004,4.3,1.3000000000000003,1.6999999999999997,23.529411764705856,"Butte County, ID, ID"
48133,TX,"Eastland County, TX",3.3000000000000003,6.800000000000001,5.7,4.6000000000000005,4.6000000000000005,6.800000000000001,1.3000000000000003,3.5000000000000004,62.857142857142854,"Eastland County, TX, TX"
34031,NJ,"Passaic County, NJ",4.2,12.100000000000001,8.700000000000001,4.800000000000001,5.5,12.100000000000001,1.2999999999999998,7.900000000000001,83.54430379746836,"Passaic County, NJ, NJ"
17153,IL,"Pulaski County, IL",6.4,11.9,9.600000000000001,7.300000000000001,7.7,11.9,1.2999999999999998,5.5,76.36363636363637,"Pulaski County, IL, IL"
48505,TX,"Zapata County, TX",5.1000000000000005,12.200000000000001,11.700000000000001,7.0,6.4,12.200000000000001,1.2999999999999998,7.1000000000000005,81.69014084507043,"Zapata County, TX, TX"
