State,p90_p10
AK,6.0600000000000005
PR,5.7299999999999995
CA,4.350000000000002
AZ,4.3
MI,3.6599999999999993
KY,2.810000000000001
WV,2.6600000000000006
NV,2.380000000000001
AL,2.2399999999999998
MS,2.1900000000000004
TX,2.1000000000000005
NJ,2.1
WA,2.0999999999999996
NM,2.0600000000000005
MN,2.0200000000000014
AR,2.0
IL,1.9900000000000002
ID,1.9800000000000009
UT,1.9199999999999995
MT,1.9000000000000004
OK,1.8400000000000003
CO,1.8399999999999999
LA,1.7800000000000011
SC,1.75
OH,1.73
NC,1.7100000000000009
TN,1.6999999999999997
OR,1.6999999999999997
WI,1.69
ME,1.6500000000000004
VA,1.6000000000000005
GA,1.5999999999999996
PA,1.5399999999999996
SD,1.5
MA,1.4699999999999998
MO,1.4200000000000021
NY,1.3699999999999997
HI,1.35
ND,1.3000000000000003
IA,1.2999999999999998
IN,1.2000000000000002
FL,1.1399999999999997
MD,1.07
VT,1.0500000000000005
KS,1.0
WY,0.98
NE,0.8999999999999999
CT,0.6299999999999999
RI,0.5600000000000005
DE,0.5599999999999996
NH,0.42999999999999994
DC,0.0
