FIPS_Code,State,Area_Name,UR_shock_2020,Unemployment_rate_2019,Unemployment_rate_2020,label
15009,HI,"Maui County, HI",15.299999999999999,2.4000000000000004,17.7,"Maui County, HI, HI"
15007,HI,"Kauai County, HI",13.7,2.5,16.2,"Kauai County, HI, HI"
02230,AK,"Skagway Municipality, AK",12.500000000000002,9.200000000000001,21.700000000000003,"Skagway Municipality, AK, AK"
34001,NJ,"Atlantic County, NJ",12.200000000000001,4.9,17.1,"Atlantic County, NJ, NJ"
32003,NV,"Clark County, NV",11.2,4.3,15.5,"Clark County, NV, NV"
12097,FL,"Osceola County, FL",10.700000000000001,3.4000000000000004,14.100000000000001,"Osceola County, FL, FL"
36005,NY,"Bronx County, NY",10.6,5.4,16.0,"Bronx County, NY, NY"
02068,AK,"Denali Borough, AK",9.8,7.7,17.5,"Denali Borough, AK, AK"
48103,TX,"Crane County, TX",9.700000000000001,4.0,13.700000000000001,"Crane County, TX, TX"
51730,VA,"Petersburg city, VA",9.100000000000001,5.6000000000000005,14.700000000000001,"Petersburg city, VA, VA"
48501,TX,"Yoakum County, TX",9.1,2.9000000000000004,12.0,"Yoakum County, TX, TX"
36081,NY,"Queens County, NY",8.9,3.5,12.4,"Queens County, NY, NY"
08047,CO,"Gilpin County, CO",8.600000000000001,2.2,10.8,"Gilpin County, CO, CO"
26163,MI,"Wayne County, MI",8.600000000000001,5.0,13.600000000000001,"Wayne County, MI, MI"
48377,TX,"Presidio County, TX",8.5,6.4,14.9,"Presidio County, TX, TX"
28143,MS,"Tunica County, MS",8.5,6.4,14.9,"Tunica County, MS, MS"
48135,TX,"Ector County, TX",8.400000000000002,2.7,11.100000000000001,"Ector County, TX, TX"
06051,CA,"Mono County, CA",8.400000000000002,3.7,12.100000000000001,"Mono County, CA, CA"
27087,MN,"Mahnomen County, MN",8.4,4.800000000000001,13.200000000000001,"Mahnomen County, MN, MN"
01131,AL,"Wilcox County, AL",8.4,7.5,15.9,"Wilcox County, AL, AL"
